006 ಯುಧಿಷ್ಠಿರಪ್ರವೇಶಃ 	 04_virATaparva/045_vairATa-parva/006/
006 ವಿದುರನಿರ್ವಾಸಃ 	 03_aranyakaparva/029_AraNyaka-parva/006/
006 ಶಲ್ಯಸೈನಾಪತ್ಯಾಭಿಷೇಕಃ 	 09_shalyaparva/074_shalyavadha-parva/006/
006 ಸಭಾಜಿಜ್ಞಾಸಾ 	 02_Sabhaparva/020_sabhA-parva/006/
006 ಸುದರ್ಶನದ್ವೀಪವರ್ಣನಃ 	 06_bhIshmaparva/061_jaMbUkhaMDavinirmANa-parva/006/
006 ಸ್ತ್ರೀಶಾಪಃ 	 12_shAMtiparva/084_rAjadharma-parva/006/
006: ಅರ್ಜುನಾಗಮನಃ 	 16_mausalaparva/93_mausala-parva/006/
006: ದೈವಪುರುಷಕಾರನಿರ್ದೇಶಃ 	 13_anushAsanaparva/87_dAnadharma-parva/006/
006: ಧೃತರಾಷ್ಟ್ರನಿರ್ವೇದಃ 	 15_AshramavAsikaparva/90_AshramavAsa-parva/006/
006: ಪೃಥೂಪಾಖ್ಯಾನಮ್ 	 19_harivaMsha/96_harivaMsha-parva/006/
006: ಸಂವರ್ತಮರುತ್ತೀಯಃ 	 14_ashvamEdhikaparva/89_ashvamEdhika-parva/006/
007 ಅಗ್ನಿಶಾಪಮೋಚನಃ 	 01_Adiparva/004_paulOma-parva/007/
007 ಇಂದ್ರಸಭಾವರ್ಣನಂ 	 02_Sabhaparva/020_sabhA-parva/007/
007 ಕೃಷ್ಣಸಾರಥ್ಯಸ್ವೀಕಾರಃ 	 05_udyOgaparva/049_udyOga-parva/007/
007 ದ್ರೋಣವಧಶ್ರವಣಃ 	 07_drONaparva/065_drONAbhishEka-parva/007/
007 ದ್ರೌಣಿಕೃತಶಿವಾರ್ಚನಃ 	 10_sauptikaparva/078_sauptika-parva/007/
007 ಧೃತರಾಷ್ಟ್ರಶೋಕಕರಣಃ 	 11_strIparva/080_vishOka-parva/007/
007 ಭೀಮಪ್ರವೇಶಃ 	 04_virATaparva/045_vairATa-parva/007/
007 ಭೂಮ್ಯಾದಿಪರಿಮಾಣವಿವರಣಃ 	 06_bhIshmaparva/061_jaMbUkhaMDavinirmANa-parva/007/
007 ಯುಧಿಷ್ಠಿರಪರಿವೇದನಂ 	 12_shAMtiparva/084_rAjadharma-parva/007/
007 ವಿದುರಪ್ರತ್ಯಾಗಮನಃ 	 03_aranyakaparva/029_AraNyaka-parva/007/
007 ವ್ಯೂಹನಿರ್ಮಾಣಃ 	 08_karNaparva/073_karNavadha-parva/007/
007 ವ್ಯೂಹನಿರ್ಮಾಣಃ 	 09_shalyaparva/074_shalyavadha-parva/007/
007 ಸಂಭವ ಪರ್ವ 	 01_Adiparva/007_saMbhava-parva/
